Order ID,Customer Name,Segment,Order Date,State,Postal Code,Category,Ship Date,Days to Ship,Measure Names,Measure Values
CA-2022-115427,Erica Bern,Corporate,12/30/2022,California,94533,Office Supplies,1/3/2023,4,Sales,34.624
CA-2022-115427,Erica Bern,Corporate,12/30/2022,California,94533,Office Supplies,1/3/2023,4,Quantity,4
CA-2022-126221,Chuck Clark,Home Office,12/30/2022,Indiana,47201,Office Supplies,1/5/2023,6,Sales,209.3
CA-2022-126221,Chuck Clark,Home Office,12/30/2022,Indiana,47201,Office Supplies,1/5/2023,6,Quantity,2
CA-2022-143259,Patrick O'Donnell,Consumer,12/30/2022,New York,10009,Furniture,1/3/2023,4,Sales,323.136
CA-2022-143259,Patrick O'Donnell,Consumer,12/30/2022,New York,10009,Furniture,1/3/2023,4,Quantity,4
CA-2022-143259,Patrick O'Donnell,Consumer,12/30/2022,New York,10009,Office Supplies,1/3/2023,4,Sales,52.776
CA-2022-143259,Patrick O'Donnell,Consumer,12/30/2022,New York,10009,Office Supplies,1/3/2023,4,Quantity,3
CA-2022-143259,Patrick O'Donnell,Consumer,12/30/2022,New York,10009,Technology,1/3/2023,4,Sales,90.93
CA-2022-143259,Patrick O'Donnell,Consumer,12/30/2022,New York,10009,Technology,1/3/2023,4,Quantity,7
CA-2022-156720,Jill Matthias,Consumer,12/30/2022,Colorado,80538,Office Supplies,1/3/2023,4,Sales,3.024
CA-2022-156720,Jill Matthias,Consumer,12/30/2022,Colorado,80538,Office Supplies,1/3/2023,4,Quantity,3
CA-2022-118885,James Galang,Consumer,12/29/2022,California,90049,Furniture,1/2/2023,4,Sales,393.568
CA-2022-118885,James Galang,Consumer,12/29/2022,California,90049,Furniture,1/2/2023,4,Quantity,4
CA-2022-118885,James Galang,Consumer,12/29/2022,California,90049,Technology,1/2/2023,4,Sales,302.376
CA-2022-118885,James Galang,Consumer,12/29/2022,California,90049,Technology,1/2/2023,4,Quantity,3
CA-2022-130631,Bruce Stewart,Consumer,12/29/2022,Washington,98026,Furniture,1/2/2023,4,Sales,68.46
CA-2022-130631,Bruce Stewart,Consumer,12/29/2022,Washington,98026,Furniture,1/2/2023,4,Quantity,2
CA-2022-130631,Bruce Stewart,Consumer,12/29/2022,Washington,98026,Office Supplies,1/2/2023,4,Sales,19.6
CA-2022-130631,Bruce Stewart,Consumer,12/29/2022,Washington,98026,Office Supplies,1/2/2023,4,Quantity,5
CA-2022-146626,Ben Peterman,Corporate,12/29/2022,California,92804,Furniture,1/5/2023,7,Sales,101.12
CA-2022-146626,Ben Peterman,Corporate,12/29/2022,California,92804,Furniture,1/5/2023,7,Quantity,8
CA-2022-158673,Ken Brennan,Corporate,12/29/2022,Michigan,49505,Office Supplies,1/4/2023,6,Sales,209.7
